training objective,layer,variables localized,interchange intervention accuracy
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9179999828338624
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9110000133514404
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7710000276565552
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8980000019073486
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6539999842643738
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.902999997138977
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8790000081062317
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.871999979019165
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7139999866485596
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9509999752044678
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9589999914169312
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9229999780654908
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7820000052452087
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9369999766349792
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9369999766349792
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8820000290870667
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7260000109672546
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9419999718666076
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9430000185966492
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.953000009059906
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.7799999713897705
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9210000038146972
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.925000011920929
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8899999856948853
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6840000152587891
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9229999780654908
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9110000133514404
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6800000071525574
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9259999990463256
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8939999938011169
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.5339999794960022
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9160000085830688
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9010000228881836
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.5559999942779541
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9660000205039978
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9610000252723694
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9269999861717224
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7400000095367432
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8769999742507935
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7149999737739563
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9340000152587892
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9409999847412108
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9629999995231628
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.9089999794960022
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9269999861717224
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.930999994277954
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.902999997138977
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.5910000205039978
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9279999732971193
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9179999828338624
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8930000066757202
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7139999866485596
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.921999990940094
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8820000290870667
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6830000281333923
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9039999842643738
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8790000081062317
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8930000066757202
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7059999704360962
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9710000157356262
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9639999866485596
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7369999885559082
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.944000005722046
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9369999766349792
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9120000004768372
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7260000109672546
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9470000267028807
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9480000138282776
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9470000267028807
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.9509999752044678
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9160000085830688
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9139999747276306
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8669999837875366
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7089999914169312
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9290000200271606
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9049999713897704
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.722000002861023
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9160000085830688
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8989999890327454
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8730000257492065
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6129999756813049
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9120000004768372
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8690000176429749
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7350000143051147
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9649999737739564
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9470000267028807
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9490000009536744
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7009999752044678
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.944000005722046
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8859999775886536
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7699999809265137
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.944000005722046
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9559999704360962
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.9539999961853028
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9200000166893004
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9049999713897704
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8899999856948853
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6549999713897705
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9399999976158142
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9480000138282776
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9399999976158142
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.7599999904632568
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9290000200271606
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9089999794960022
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8999999761581421
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7979999780654907
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9190000295639038
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9279999732971193
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9269999861717224
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.824999988079071
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9470000267028807
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7289999723434448
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9470000267028807
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9470000267028807
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8989999890327454
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6679999828338623
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9340000152587892
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9380000233650208
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5139999985694885
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9290000200271606
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8989999890327454
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.5960000157356262
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.915000021457672
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7239999771118164
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9319999814033508
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8949999809265137
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.656000018119812
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9179999828338624
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8830000162124634
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7080000042915344
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9549999833106996
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9409999847412108
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.912999987602234
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7889999747276306
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9470000267028807
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.944000005722046
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9229999780654908
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8289999961853027
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.962000012397766
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.953000009059906
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9359999895095824
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.6299999952316284
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9240000247955322
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.921999990940094
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8980000019073486
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7419999837875366
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9269999861717224
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.8999999761581421
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9210000038146972
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.675000011920929
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9160000085830688
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9110000133514404
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8659999966621399
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6940000057220459
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9290000200271606
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8949999809265137
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8899999856948853
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.753000020980835
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9459999799728394
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9480000138282776
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9350000023841858
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.699999988079071
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9390000104904176
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9449999928474426
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8930000066757202
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7720000147819519
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9390000104904176
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9520000219345092
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9639999866485596
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.8109999895095825
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9100000262260436
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9160000085830688
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.890999972820282
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.746999979019165
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9369999766349792
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8899999856948853
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.5770000219345093
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9139999747276306
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.902999997138977
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.75
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9290000200271606
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9179999828338624
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9120000004768372
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7860000133514404
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9660000205039978
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9629999995231628
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9139999747276306
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.6970000267028809
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9369999766349792
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8669999837875366
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6800000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9229999780654908
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.962000012397766
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.8859999775886536
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.925000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9110000133514404
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.902999997138977
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.5230000019073486
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9190000295639038
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8889999985694885
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6230000257492065
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9089999794960022
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8650000095367432
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6510000228881836
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.906000018119812
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8830000162124634
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8769999742507935
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6800000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9509999752044678
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9610000252723694
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9340000152587892
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7059999704360962
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9470000267028807
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9210000038146972
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.6909999847412109
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9459999799728394
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9520000219345092
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9610000252723694
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.7009999752044678
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9010000228881836
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9200000166893004
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8880000114440918
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7639999985694885
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9330000281333924
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9430000185966492
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9079999923706056
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6449999809265137
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9110000133514404
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8960000276565552
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8799999952316284
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6510000228881836
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.902999997138977
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8880000114440918
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8920000195503235
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7369999885559082
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9580000042915344
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9589999914169312
