,model,variables,layer,accuracy
205,277,"[0, 2]",conv2,0.9380000233650208
206,277,"[0, 2]",conv3,0.9169999957084656
207,277,"[0, 2]",fc1,0.6119999885559082
208,277,"[1, 2]",conv1,0.9150000214576721
209,277,"[1, 2]",conv2,0.9139999747276306
210,277,"[1, 2]",conv3,0.9010000228881836
211,277,"[1, 2]",fc1,0.6439999938011169
212,277,[0],conv1,0.9279999732971191
213,277,[0],conv2,0.9100000262260437
214,277,[0],conv3,0.9020000100135803
215,277,[0],fc1,0.6710000038146973
216,277,[1],conv1,0.9710000157356262
217,277,[1],conv2,0.9380000233650208
218,277,[1],conv3,0.9309999942779541
219,277,[1],fc1,0.7720000147819519
220,277,[2],conv1,0.9169999957084656
221,277,[2],conv2,0.9340000152587891
222,277,[2],conv3,0.8980000019073486
223,277,[2],fc1,0.7139999866485596
224,278,"[0, 1, 2]",conv1,0.9210000038146973
225,278,"[0, 1, 2]",conv2,0.9390000104904175
226,278,"[0, 1, 2]",conv3,0.9319999814033508
227,278,"[0, 1, 2]",fc1,0.6690000295639038
228,278,"[0, 1]",conv1,0.9150000214576721
229,278,"[0, 1]",conv2,0.9150000214576721
230,278,"[0, 1]",conv3,0.9089999794960022
231,278,"[0, 1]",fc1,0.6740000247955322
232,278,"[0, 2]",conv1,0.9300000071525574
233,278,"[0, 2]",conv2,0.9049999713897705
234,278,"[0, 2]",conv3,0.9070000052452087
235,278,"[0, 2]",fc1,0.593999981880188
236,278,"[1, 2]",conv1,0.9200000166893005
237,278,"[1, 2]",conv2,0.8840000033378601
238,278,"[1, 2]",conv3,0.8859999775886536
239,278,"[1, 2]",fc1,0.6859999895095825
240,278,[0],conv1,0.8939999938011169
241,278,[0],conv2,0.871999979019165
242,278,[0],conv3,0.8619999885559082
243,278,[0],fc1,0.7570000290870667
244,278,[1],conv1,0.9610000252723694
245,278,[1],conv2,0.9480000138282776
246,278,[1],conv3,0.9279999732971191
247,278,[1],fc1,0.7870000004768372
248,278,[2],conv1,0.9480000138282776
249,278,[2],conv2,0.9509999752044678
250,278,[2],conv3,0.9070000052452087
251,278,[2],fc1,0.7459999918937683
252,279,"[0, 1, 2]",conv1,0.9369999766349792
253,279,"[0, 1, 2]",conv2,0.949999988079071
254,279,"[0, 1, 2]",conv3,0.9300000071525574
255,279,"[0, 1, 2]",fc1,0.7049999833106995
256,279,"[0, 1]",conv1,0.8989999890327454
257,279,"[0, 1]",conv2,0.9160000085830688
258,279,"[0, 1]",conv3,0.8730000257492065
259,279,"[0, 1]",fc1,0.7480000257492065
260,279,"[0, 2]",conv1,0.9210000038146973
261,279,"[0, 2]",conv2,0.9269999861717224
262,279,"[0, 2]",conv3,0.9150000214576721
263,279,"[0, 2]",fc1,0.6340000033378601
264,279,"[1, 2]",conv1,0.9190000295639038
265,279,"[1, 2]",conv2,0.9160000085830688
266,279,"[1, 2]",conv3,0.8920000195503235
267,279,"[1, 2]",fc1,0.656000018119812
268,279,[0],conv1,0.8939999938011169
269,279,[0],conv2,0.8889999985694885
270,279,[0],conv3,0.8550000190734863
271,279,[0],fc1,0.6940000057220459
272,279,[1],conv1,0.9520000219345093
273,279,[1],conv2,0.9649999737739563
274,279,[1],conv3,0.9319999814033508
275,279,[1],fc1,0.7260000109672546
276,279,[2],conv1,0.9369999766349792
277,279,[2],conv2,0.9419999718666077
278,279,[2],conv3,0.8799999952316284
279,279,[2],fc1,0.699999988079071
280,280,"[0, 1, 2]",conv1,0.9390000104904175
281,280,"[0, 1, 2]",conv2,0.9539999961853027
282,280,"[0, 1, 2]",conv3,0.953000009059906
283,280,"[0, 1, 2]",fc1,0.7580000162124634
284,280,"[0, 1]",conv1,0.9079999923706055
285,280,"[0, 1]",conv2,0.9110000133514404
286,280,"[0, 1]",conv3,0.8870000243186951
287,280,"[0, 1]",fc1,0.7459999918937683
288,280,"[0, 2]",conv1,0.9350000023841858
289,280,"[0, 2]",conv2,0.9390000104904175
290,280,"[0, 2]",conv3,0.9240000247955322
291,280,"[0, 2]",fc1,0.5929999947547913
292,280,"[1, 2]",conv1,0.9100000262260437
293,280,"[1, 2]",conv2,0.9240000247955322
294,280,"[1, 2]",conv3,0.8899999856948853
295,280,"[1, 2]",fc1,0.746999979019165
296,280,[0],conv1,0.9049999713897705
297,280,[0],conv2,0.9210000038146973
298,280,[0],conv3,0.9049999713897705
299,280,[0],fc1,0.6809999942779541
300,280,[1],conv1,0.9589999914169312
301,280,[1],conv2,0.9660000205039978
302,280,[1],conv3,0.9399999976158142
303,280,[1],fc1,0.6420000195503235
304,280,[2],conv1,0.9319999814033508
305,280,[2],conv2,0.9309999942779541
306,280,[2],conv3,0.878000020980835
307,280,[2],fc1,0.671999990940094
308,281,"[0, 1, 2]",conv1,0.9160000085830688
309,281,"[0, 1, 2]",conv2,0.9229999780654907
310,281,"[0, 1, 2]",conv3,0.9599999785423279
311,281,"[0, 1, 2]",fc1,0.6079999804496765
312,281,"[0, 1]",conv1,0.9179999828338623
313,281,"[0, 1]",conv2,0.921999990940094
314,281,"[0, 1]",conv3,0.8989999890327454
315,281,"[0, 1]",fc1,0.7990000247955322
316,281,"[0, 2]",conv1,0.9120000004768372
317,281,"[0, 2]",conv2,0.9179999828338623
318,281,"[0, 2]",conv3,0.8650000095367432
319,281,"[0, 2]",fc1,0.6949999928474426
320,281,"[1, 2]",conv1,0.9330000281333923
321,281,"[1, 2]",conv2,0.9179999828338623
322,281,"[1, 2]",conv3,0.8709999918937683
323,281,"[1, 2]",fc1,0.7049999833106995
324,281,[0],conv1,0.8830000162124634
325,281,[0],conv2,0.8980000019073486
326,281,[0],conv3,0.8640000224113464
327,281,[0],fc1,0.6759999990463257
328,281,[1],conv1,0.968999981880188
329,281,[1],conv2,0.9549999833106995
330,281,[1],conv3,0.9300000071525574
331,281,[1],fc1,0.7310000061988831
332,281,[2],conv1,0.9399999976158142
333,281,[2],conv2,0.9480000138282776
334,281,[2],conv3,0.8989999890327454
335,281,[2],fc1,0.7789999842643738
336,282,"[0, 1, 2]",conv1,0.9409999847412109
337,282,"[0, 1, 2]",conv2,0.925000011920929
338,282,"[0, 1, 2]",conv3,0.9449999928474426
339,282,"[0, 1, 2]",fc1,0.7059999704360962
340,282,"[0, 1]",conv1,0.921999990940094
341,282,"[0, 1]",conv2,0.9229999780654907
342,282,"[0, 1]",conv3,0.8700000047683716
343,282,"[0, 1]",fc1,0.7170000076293945
344,282,"[0, 2]",conv1,0.9380000233650208
