,model,variables,layer,accuracy
310,44,[1],conv2,0.953000009059906
311,44,[1],conv3,0.9290000200271606
312,44,[2],conv1,0.9359999895095825
313,44,[2],conv2,0.9430000185966492
314,44,[2],conv3,0.9380000233650208
315,45,"[0, 1, 2]",conv1,0.9459999799728394
316,45,"[0, 1, 2]",conv2,0.9639999866485596
317,45,"[0, 1, 2]",conv3,0.9679999947547913
318,45,"[0, 1]",conv1,0.9340000152587891
319,45,"[0, 1]",conv2,0.9240000247955322
320,45,"[0, 1]",conv3,0.9070000052452087
321,45,"[0, 2]",conv1,0.9269999861717224
322,45,"[0, 2]",conv2,0.9509999752044678
323,45,"[0, 2]",conv3,0.9200000166893005
324,45,"[1, 2]",conv1,0.9210000038146973
325,45,"[1, 2]",conv2,0.9340000152587891
326,45,"[1, 2]",conv3,0.9020000100135803
327,45,[0],conv1,0.9110000133514404
328,45,[0],conv2,0.9390000104904175
329,45,[0],conv3,0.9010000228881836
330,45,[1],conv1,0.9539999961853027
331,45,[1],conv2,0.9549999833106995
332,45,[1],conv3,0.925000011920929
333,45,[2],conv1,0.9380000233650208
334,45,[2],conv2,0.9470000267028809
335,45,[2],conv3,0.8999999761581421
336,46,"[0, 1, 2]",conv1,0.9559999704360962
337,46,"[0, 1, 2]",conv2,0.972000002861023
338,46,"[0, 1, 2]",conv3,0.9629999995231628
339,46,"[0, 1]",conv1,0.9240000247955322
340,46,"[0, 1]",conv2,0.9440000057220459
341,46,"[0, 1]",conv3,0.9010000228881836
342,46,"[0, 2]",conv1,0.9549999833106995
343,46,"[0, 2]",conv2,0.9570000171661377
344,46,"[0, 2]",conv3,0.9309999942779541
345,46,"[1, 2]",conv1,0.9229999780654907
346,46,"[1, 2]",conv2,0.9390000104904175
347,46,"[1, 2]",conv3,0.902999997138977
348,46,[0],conv1,0.9279999732971191
349,46,[0],conv2,0.9430000185966492
350,46,[0],conv3,0.9160000085830688
351,46,[1],conv1,0.9670000076293945
352,46,[1],conv2,0.9710000157356262
353,46,[1],conv3,0.9490000009536743
354,46,[2],conv1,0.921999990940094
355,46,[2],conv2,0.9430000185966492
356,46,[2],conv3,0.8970000147819519
357,47,"[0, 1, 2]",conv1,0.9449999928474426
358,47,"[0, 1, 2]",conv2,0.9649999737739563
359,47,"[0, 1, 2]",conv3,0.9539999961853027
360,47,"[0, 1]",conv1,0.9440000057220459
361,47,"[0, 1]",conv2,0.9380000233650208
362,47,"[0, 1]",conv3,0.9210000038146973
363,47,"[0, 2]",conv1,0.9319999814033508
364,47,"[0, 2]",conv2,0.9480000138282776
365,47,"[0, 2]",conv3,0.9340000152587891
366,47,"[1, 2]",conv1,0.9440000057220459
367,47,"[1, 2]",conv2,0.9279999732971191
368,47,"[1, 2]",conv3,0.9169999957084656
369,47,[0],conv1,0.9150000214576721
370,47,[0],conv2,0.9070000052452087
371,47,[0],conv3,0.8840000033378601
372,47,[1],conv1,0.9649999737739563
373,47,[1],conv2,0.9639999866485596
374,47,[1],conv3,0.9520000219345093
375,47,[2],conv1,0.9490000009536743
376,47,[2],conv2,0.953000009059906
377,47,[2],conv3,0.9259999990463257
378,48,"[0, 1, 2]",conv1,0.9480000138282776
379,48,"[0, 1, 2]",conv2,0.9520000219345093
380,48,"[0, 1, 2]",conv3,0.9660000205039978
381,48,"[0, 1]",conv1,0.9259999990463257
382,48,"[0, 1]",conv2,0.9419999718666077
383,48,"[0, 1]",conv3,0.9319999814033508
384,48,"[0, 2]",conv1,0.9419999718666077
385,48,"[0, 2]",conv2,0.9549999833106995
386,48,"[0, 2]",conv3,0.9309999942779541
387,48,"[1, 2]",conv1,0.9340000152587891
388,48,"[1, 2]",conv2,0.9340000152587891
389,48,"[1, 2]",conv3,0.9259999990463257
390,48,[0],conv1,0.9160000085830688
391,48,[0],conv2,0.9309999942779541
392,48,[0],conv3,0.8980000019073486
393,48,[1],conv1,0.9409999847412109
394,48,[1],conv2,0.9639999866485596
395,48,[1],conv3,0.9599999785423279
396,48,[2],conv1,0.9350000023841858
397,48,[2],conv2,0.9430000185966492
398,48,[2],conv3,0.9120000004768372
399,49,"[0, 1, 2]",conv1,0.953000009059906
400,49,"[0, 1, 2]",conv2,0.9620000123977661
401,49,"[0, 1, 2]",conv3,0.9729999899864197
402,49,"[0, 1]",conv1,0.9210000038146973
403,49,"[0, 1]",conv2,0.9330000281333923
404,49,"[0, 1]",conv3,0.9160000085830688
405,49,"[0, 2]",conv1,0.9470000267028809
406,49,"[0, 2]",conv2,0.9580000042915344
407,49,"[0, 2]",conv3,0.9589999914169312
408,49,"[1, 2]",conv1,0.9350000023841858
409,49,"[1, 2]",conv2,0.9399999976158142
410,49,"[1, 2]",conv3,0.9259999990463257
411,49,[0],conv1,0.9309999942779541
412,49,[0],conv2,0.9440000057220459
413,49,[0],conv3,0.9409999847412109
414,49,[1],conv1,0.9549999833106995
415,49,[1],conv2,0.9559999704360962
416,49,[1],conv3,0.953000009059906
417,49,[2],conv1,0.9430000185966492
418,49,[2],conv2,0.9319999814033508
419,49,[2],conv3,0.9079999923706055
420,50,"[0, 1, 2]",conv1,0.9580000042915344
421,50,"[0, 1, 2]",conv2,0.9470000267028809
422,50,"[0, 1, 2]",conv3,0.9399999976158142
423,50,"[0, 1]",conv1,0.9380000233650208
424,50,"[0, 1]",conv2,0.9559999704360962
425,50,"[0, 1]",conv3,0.9309999942779541
426,50,"[0, 2]",conv1,0.9409999847412109
427,50,"[0, 2]",conv2,0.9459999799728394
428,50,"[0, 2]",conv3,0.9279999732971191
429,50,"[1, 2]",conv1,0.9300000071525574
430,50,"[1, 2]",conv2,0.9269999861717224
431,50,"[1, 2]",conv3,0.9139999747276306
432,50,[0],conv1,0.9200000166893005
433,50,[0],conv2,0.9380000233650208
434,50,[0],conv3,0.9210000038146973
435,50,[1],conv1,0.953000009059906
436,50,[1],conv2,0.9679999947547913
437,50,[1],conv3,0.9580000042915344
438,50,[2],conv1,0.9449999928474426
439,50,[2],conv2,0.9459999799728394
440,50,[2],conv3,0.9409999847412109
441,51,"[0, 1, 2]",conv1,0.949999988079071
442,51,"[0, 1, 2]",conv2,0.9760000109672546
443,51,"[0, 1, 2]",conv3,0.9620000123977661
444,51,"[0, 1]",conv1,0.9120000004768372
445,51,"[0, 1]",conv2,0.9309999942779541
446,51,"[0, 1]",conv3,0.9100000262260437
447,51,"[0, 2]",conv1,0.9409999847412109
448,51,"[0, 2]",conv2,0.9419999718666077
449,51,"[0, 2]",conv3,0.9449999928474426
450,51,"[1, 2]",conv1,0.9229999780654907
451,51,"[1, 2]",conv2,0.9100000262260437
452,51,"[1, 2]",conv3,0.9089999794960022
453,51,[0],conv1,0.9359999895095825
454,51,[0],conv2,0.9340000152587891
455,51,[0],conv3,0.8999999761581421
456,51,[1],conv1,0.9580000042915344
457,51,[1],conv2,0.9679999947547913
458,51,[1],conv3,0.949999988079071
459,51,[2],conv1,0.9470000267028809
460,51,[2],conv2,0.949999988079071
461,51,[2],conv3,0.9120000004768372
462,52,"[0, 1, 2]",conv1,0.9509999752044678
463,52,"[0, 1, 2]",conv2,0.9520000219345093
464,52,"[0, 1, 2]",conv3,0.9599999785423279
465,52,"[0, 1]",conv1,0.925000011920929
466,52,"[0, 1]",conv2,0.9549999833106995
467,52,"[0, 1]",conv3,0.921999990940094
468,52,"[0, 2]",conv1,0.9480000138282776
469,52,"[0, 2]",conv2,0.9390000104904175
470,52,"[0, 2]",conv3,0.9279999732971191
471,52,"[1, 2]",conv1,0.9259999990463257
472,52,"[1, 2]",conv2,0.9409999847412109
473,52,"[1, 2]",conv3,0.906000018119812
474,52,[0],conv1,0.9419999718666077
475,52,[0],conv2,0.9399999976158142
476,52,[0],conv3,0.9330000281333923
477,52,[1],conv1,0.9679999947547913
478,52,[1],conv2,0.9589999914169312
479,52,[1],conv3,0.953000009059906
480,52,[2],conv1,0.9399999976158142
481,52,[2],conv2,0.9490000009536743
482,52,[2],conv3,0.9150000214576721
483,53,"[0, 1, 2]",conv1,0.9399999976158142
484,53,"[0, 1, 2]",conv2,0.949999988079071
485,53,"[0, 1, 2]",conv3,0.9639999866485596
486,53,"[0, 1]",conv1,0.925000011920929
487,53,"[0, 1]",conv2,0.9380000233650208
488,53,"[0, 1]",conv3,0.9279999732971191
489,53,"[0, 2]",conv1,0.9409999847412109
490,53,"[0, 2]",conv2,0.9369999766349792
491,53,"[0, 2]",conv3,0.925000011920929
492,53,"[1, 2]",conv1,0.9190000295639038
493,53,"[1, 2]",conv2,0.9340000152587891
494,53,"[1, 2]",conv3,0.8939999938011169
495,53,[0],conv1,0.9330000281333923
496,53,[0],conv2,0.9100000262260437
497,53,[0],conv3,0.9049999713897705
498,53,[1],conv1,0.9599999785423279
499,53,[1],conv2,0.9610000252723694
500,53,[1],conv3,0.9350000023841858
501,53,[2],conv1,0.9490000009536743
502,53,[2],conv2,0.9520000219345093
503,53,[2],conv3,0.9269999861717224
504,54,"[0, 1, 2]",conv1,0.9449999928474426
505,54,"[0, 1, 2]",conv2,0.9549999833106995
506,54,"[0, 1, 2]",conv3,0.9660000205039978
507,54,"[0, 1]",conv1,0.9359999895095825
508,54,"[0, 1]",conv2,0.9390000104904175
509,54,"[0, 1]",conv3,0.9290000200271606
510,54,"[0, 2]",conv1,0.9549999833106995
511,54,"[0, 2]",conv2,0.9409999847412109
512,54,"[0, 2]",conv3,0.9290000200271606
513,54,"[1, 2]",conv1,0.9369999766349792
514,54,"[1, 2]",conv2,0.9330000281333923
515,54,"[1, 2]",conv3,0.9150000214576721
516,54,[0],conv1,0.9300000071525574
517,54,[0],conv2,0.9350000023841858
518,54,[0],conv3,0.9210000038146973
519,54,[1],conv1,0.972000002861023
520,54,[1],conv2,0.9610000252723694
521,54,[1],conv3,0.9300000071525574
522,54,[2],conv1,0.9380000233650208
523,54,[2],conv2,0.9380000233650208
524,54,[2],conv3,0.9100000262260437
525,55,"[0, 1, 2]",conv1,0.9620000123977661
526,55,"[0, 1, 2]",conv2,0.9539999961853027
527,55,"[0, 1, 2]",conv3,0.9520000219345093
528,55,"[0, 1]",conv1,0.9430000185966492
529,55,"[0, 1]",conv2,0.9380000233650208
530,55,"[0, 1]",conv3,0.9369999766349792
531,55,"[0, 2]",conv1,0.9599999785423279
532,55,"[0, 2]",conv2,0.9610000252723694
533,55,"[0, 2]",conv3,0.9359999895095825
534,55,"[1, 2]",conv1,0.9480000138282776
535,55,"[1, 2]",conv2,0.9340000152587891
536,55,"[1, 2]",conv3,0.9200000166893005
537,55,[0],conv1,0.9229999780654907
538,55,[0],conv2,0.9390000104904175
539,55,[0],conv3,0.9330000281333923
540,55,[1],conv1,0.9639999866485596
541,55,[1],conv2,0.9660000205039978
542,55,[1],conv3,0.9589999914169312
543,55,[2],conv1,0.9419999718666077
544,55,[2],conv2,0.9409999847412109
545,55,[2],conv3,0.9190000295639038
546,56,"[0, 1, 2]",conv1,0.949999988079071
547,56,"[0, 1, 2]",conv2,0.9409999847412109
548,56,"[0, 1, 2]",conv3,0.9599999785423279
549,56,"[0, 1]",conv1,0.9279999732971191
550,56,"[0, 1]",conv2,0.9380000233650208
551,56,"[0, 1]",conv3,0.9309999942779541
552,56,"[0, 2]",conv1,0.9440000057220459
553,56,"[0, 2]",conv2,0.9309999942779541
554,56,"[0, 2]",conv3,0.9390000104904175
555,56,"[1, 2]",conv1,0.9319999814033508
556,56,"[1, 2]",conv2,0.9359999895095825
557,56,"[1, 2]",conv3,0.890999972820282
558,56,[0],conv1,0.9359999895095825
559,56,[0],conv2,0.9330000281333923
560,56,[0],conv3,0.9139999747276306
561,56,[1],conv1,0.9589999914169312
562,56,[1],conv2,0.9739999771118164
563,56,[1],conv3,0.9409999847412109
564,56,[2],conv1,0.9449999928474426
565,56,[2],conv2,0.949999988079071
566,56,[2],conv3,0.925000011920929
567,57,"[0, 1, 2]",conv1,0.9509999752044678
568,57,"[0, 1, 2]",conv2,0.9559999704360962
569,57,"[0, 1, 2]",conv3,0.9610000252723694
570,57,"[0, 1]",conv1,0.9309999942779541
571,57,"[0, 1]",conv2,0.925000011920929
572,57,"[0, 1]",conv3,0.9179999828338623
573,57,"[0, 2]",conv1,0.9419999718666077
574,57,"[0, 2]",conv2,0.9440000057220459
575,57,"[0, 2]",conv3,0.9359999895095825
576,57,"[1, 2]",conv1,0.9399999976158142
577,57,"[1, 2]",conv2,0.9419999718666077
578,57,"[1, 2]",conv3,0.9259999990463257
579,57,[0],conv1,0.9229999780654907
580,57,[0],conv2,0.9190000295639038
581,57,[0],conv3,0.9079999923706055
582,57,[1],conv1,0.9539999961853027
583,57,[1],conv2,0.9620000123977661
584,57,[1],conv3,0.9610000252723694
585,57,[2],conv1,0.9369999766349792
586,57,[2],conv2,0.9480000138282776
587,57,[2],conv3,0.9390000104904175
588,58,"[0, 1, 2]",conv1,0.9520000219345093
589,58,"[0, 1, 2]",conv2,0.9559999704360962
590,58,"[0, 1, 2]",conv3,0.972000002861023
591,58,"[0, 1]",conv1,0.9179999828338623
592,58,"[0, 1]",conv2,0.921999990940094
593,58,"[0, 1]",conv3,0.9120000004768372
594,58,"[0, 2]",conv1,0.9470000267028809
595,58,"[0, 2]",conv2,0.9629999995231628
596,58,"[0, 2]",conv3,0.9520000219345093
597,58,"[1, 2]",conv1,0.9350000023841858
598,58,"[1, 2]",conv2,0.9399999976158142
