training objective,layer,variables localized,interchange intervention accuracy,model index
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9549999833106996,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5920000076293945,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9110000133514404,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8970000147819519,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7710000276565552,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.925000011920929,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9330000281333924,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8769999742507935,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7749999761581421,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.902999997138977,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9020000100135804,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8769999742507935,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7269999980926514,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9210000038146972,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9269999861717224,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8980000019073486,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7170000076293945,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9570000171661376,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.959999978542328,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9549999833106996,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7519999742507935,180
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9259999990463256,180
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9399999976158142,180
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8690000176429749,180
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.718999981880188,180
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9509999752044678,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9449999928474426,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9520000219345092,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5289999842643738,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.8989999890327454,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9350000023841858,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9010000228881836,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7450000047683716,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9470000267028807,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9100000262260436,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6069999933242798,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.921999990940094,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9229999780654908,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9110000133514404,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.6330000162124634,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9210000038146972,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9279999732971193,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9179999828338624,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8270000219345093,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9580000042915344,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9760000109672546,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9470000267028807,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7250000238418579,181
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9279999732971193,181
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9330000281333924,181
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8870000243186951,181
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7319999933242798,181
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9390000104904176,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9319999814033508,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9419999718666076,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.859000027179718,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9380000233650208,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9369999766349792,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9049999713897704,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.7929999828338623,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9409999847412108,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9340000152587892,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9020000100135804,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6790000200271606,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9300000071525574,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9210000038146972,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8849999904632568,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7329999804496765,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9279999732971193,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9070000052452089,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8759999871253967,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7080000042915344,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9670000076293944,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9539999961853028,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9179999828338624,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7559999823570251,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9490000009536744,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.959999978542328,182
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9399999976158142,182
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.796999990940094,182
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.930999994277954,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.925000011920929,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9449999928474426,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5099999904632568,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.921999990940094,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.8999999761581421,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8870000243186951,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7049999833106995,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9409999847412108,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9350000023841858,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9120000004768372,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6029999852180481,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9120000004768372,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9290000200271606,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8579999804496765,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7250000238418579,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9169999957084656,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9269999861717224,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8960000276565552,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7440000176429749,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9660000205039978,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9399999976158142,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.718999981880188,183
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9319999814033508,183
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9340000152587892,183
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8949999809265137,183
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7260000109672546,183
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.915000021457672,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9610000252723694,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9570000171661376,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5239999890327454,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9259999990463256,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8840000033378601,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7739999890327454,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9480000138282776,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9449999928474426,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9290000200271606,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6729999780654907,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.921999990940094,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.912999987602234,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.8040000200271606,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.930999994277954,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9399999976158142,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.912999987602234,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8410000205039978,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9679999947547911,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9580000042915344,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9409999847412108,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7039999961853027,184
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.925000011920929,184
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858,184
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.902999997138977,184
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6880000233650208,184
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.902999997138977,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9319999814033508,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5529999732971191,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9070000052452089,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.925000011920929,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9010000228881836,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.7770000100135803,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9290000200271606,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9169999957084656,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9079999923706056,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7200000286102295,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9350000023841858,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9340000152587892,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8610000014305115,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6980000138282776,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9259999990463256,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8949999809265137,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.9049999713897704,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6700000166893005,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9570000171661376,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.962000012397766,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9390000104904176,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7799999713897705,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.949999988079071,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.944000005722046,185
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9139999747276306,185
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8069999814033508,185
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9290000200271606,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9399999976158142,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9390000104904176,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.8629999756813049,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.902999997138977,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9160000085830688,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8939999938011169,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7099999785423279,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9200000166893004,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8999999761581421,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.753000020980835,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9340000152587892,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8949999809265137,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8569999933242798,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7329999804496765,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9100000262260436,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9039999842643738,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8980000019073486,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.6589999794960022,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9639999866485596,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9490000009536744,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9430000185966492,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6299999952316284,186
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9210000038146972,186
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9380000233650208,186
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.9020000100135804,186
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7179999947547913,186
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9459999799728394,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9589999914169312,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.8889999985694885,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.915000021457672,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.925000011920929,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.915000021457672,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.753000020980835,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9459999799728394,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9430000185966492,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9039999842643738,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6930000185966492,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9279999732971193,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8960000276565552,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7459999918937683,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9300000071525574,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9160000085830688,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9229999780654908,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8339999914169312,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9649999737739564,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9539999961853028,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9449999928474426,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.6629999876022339,187
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9359999895095824,187
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9490000009536744,187
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8939999938011169,187
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6869999766349792,187
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.930999994277954,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9390000104904176,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9449999928474426,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.9760000109672546,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9279999732971193,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.921999990940094,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9110000133514404,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.7850000262260437,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9380000233650208,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9269999861717224,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8859999775886536,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7689999938011169,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9359999895095824,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.8980000019073486,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8949999809265137,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6439999938011169,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9160000085830688,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8949999809265137,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8799999952316284,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7289999723434448,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9470000267028807,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9580000042915344,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9259999990463256,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7649999856948853,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9490000009536744,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9520000219345092,188
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.912999987602234,188
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8190000057220459,188
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9160000085830688,189
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9409999847412108,189
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9340000152587892,189
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.6510000228881836,189
